ID;C1;C2;R1;R2;R3;R4;R5;R6;R7;M1;M2
258;9167;3558;1584;470;2591;1972;4347;2279;4316;4416;1087
259;9529;3954;1298;479;2609;1773;4053;2589;4777;4587;1132
260;11178;4176;1381;737;2364;1962;4195;2533;5070;5120;1033
261;14112;4149;1372;856;2446;2081;4621;2985;5480;5760;996
262;16594;3710;1354;875;2545;2193;5038;2872;5148;6373;908
263;18197;4641;1427;1188;2781;2211;4972;2891;5391;6069;813
264;20371;4905;1851;1188;1784;2196;5492;3362;5494;6373;738
265;19085;4497;1934;1318;788;2242;5455;3315;5837;6480;698
266;19710;4258;2053;1418;344;2333;5653;3738;5935;7104;620
267;20145;4087;2270;1436;281;2386;5076;4185;6085;6939;625
268;18216;4422;3250;1750;743;2594;5530;4388;6243;7403;710
269;16685;4912;3720;2007;1295;2703;6070;4379;6245;7963;688
270;17572;4975;4254;1768;1884;2815;6080;5028;6454;8736;732
271;18768;5223;3729;1851;2264;3074;6648;4492;6790;8453;706
272;19964;5769;3757;1713;3216;3451;7244;2451;6939;9024;755
273;20100;7025;3923;1262;3179;3724;6714;1628;7216;9227;759
274;20435;8276;3959;746;3324;3853;7159;1278;6589;8677;542
275;19900;8237;4052;396;3705;3733;6572;2137;6454;6645;505
276;16748;7648;4558;120;3922;3613;6193;2589;6149;5632;411
277;13668;6959;4678;46;3659;3634;6563;2326;6064;5616;512
278;12319;5438;4899;129;3832;3469;6307;2053;6069;6224;592
279;11694;4550;4816;120;3279;3397;6563;800;5740;6731;604
280;10954;5175;5291;74;3958;3334;6259;405;5576;6848;651
281;10888;5848;5368;193;4085;3363;6231;217;6052;6427;638
282;11703;4790;5433;258;4076;306;6212;433;5895;6917;503
283;14466;375;6022;645;4112;85;6136;705;741;5657;447
284;13197;854;5060;433;2853;120;3201;971;421;155;395
285;5507;1720;2467;212;987;152;1184;348;1137;453;328
286;5543;2477;1050;101;308;271;227;122;2031;1425;283
287;10634;2613;405;55;100;257;189;132;2317;2076;262
288;14746;2044;488;203;36;325;597;77;2101;1545;214
289;16739;2420;617;221;136;314;492;188;1669;1321;181
290;16803;2311;635;258;163;339;540;217;2317;903;165
291;14457;3301;831;331;109;355;795;169;2818;1968;222
292;12346;3669;875;212;118;475;502;386;3697;2835;205
293;11386;4304;396;387;281;538;530;321;4428;4032;203
294;11322;5365;295;350;489;756;966;217;5006;5099;222
295;10453;5904;470;396;978;1052;1222;282;5844;6085;293
296;10969;6131;479;506;1078;1170;1894;424;6226;7093;366
297;11721;6500;451;773;1449;1313;2595;358;5963;5872;371
298;11676;6432;525;488;1893;1544;2784;367;5712;6272;527
299;11567;6389;645;258;1957;1809;2879;339;5753;6976;605
300;11685;6212;755;46;2373;2085;3239;348;5770;7216;729
301;11667;5965;875;28;2618;2105;3106;226;5752;7675;889
302;11830;5430;764;18;2871;2285;3305;254;5334;7403;880
303;10779;5631;930;9;3053;2451;3475;114;5236;7312;991
304;10480;5047;829;0;3007;2332;3883;104;4763;6752;1026
305;10408;4048;663;0;3949;639;3750;490;3991;5141;932
306;9955;2723;1550;28;3723;832;3968;1030;1303;4389;992
307;10163;2542;2413;193;3813;1114;4186;1224;817;2515;1004
308;9620;1986;2597;672;4031;1176;4091;1294;1137;1657;970
309;7807;1808;2895;1289;3469;1257;3892;1336;476;1909;898
310;6366;1496;2452;1381;3207;1221;4063;1431;608;1073;821
311;5661;1006;1915;1436;2763;1256;3324;1718;1398;764;798
312;6449;933;1254;1519;1993;1191;2936;1821;2628;1629;729
313;6803;949;1096;1326;1440;1229;2358;1670;2911;2621;638
314;6313;1543;534;1197;842;1158;2367;1648;3234;3235;539
315;8315;3163;213;1418;317;1264;2273;1326;3708;3323;488
316;8315;4237;647;1114;634;1433;2386;1591;4084;3933;451
317;8487;4641;1243;1151;1096;1514;2434;1808;4197;4472;509
318;8732;4919;1179;1179;1549;1709;2945;1615;4495;4843;525
319;8768;5283;1501;1087;1893;1930;2614;1008;4487;5141;539
